OrderDate,YYYYWEEK,OrderQty,3MA,5MA,PS
2013-01-07,201302,262,243.01,227,472.5
2013-01-14,201303,411,426.67,411.2,567
2013-01-21,201304,373,349.66,360.4,472.5
2013-01-28,201305,272,306,338.2,570.6
2013-02-04,201306,525,484.33,354.4,385.2
2013-02-12,201307,360,372.99,453.8,481.5
2013-02-18,201308,577,580.65,545.4,481.5
2013-02-25,201309,332,312,378.4,581.8
2013-03-04,201310,856,839.35,784,589.8
2013-03-11,201311,995,913.67,819,491.5
2013-03-18,201312,907,991.67,984.8,491.5
2013-03-25,201313,743,712.99,859.6,589.8
2013-04-01,201314,1110,1063.32,984,489.5
2013-04-08,201315,500,610.01,698.8,489.5
2013-04-15,201316,679,656.35,617.4,587.4
2013-04-22,201317,389,371.67,404.4,587.4
2013-04-29,201318,884,867.32,745.4,585
2013-05-06,201319,733,762.32,861.8,583.8
2013-05-13,201320,644,612.99,584.2,486.5
2013-05-20,201321,895,908.33,879,583.8
2013-05-27,201322,806,752.34,725,582.9
2013-06-03,201323,594,642.67,704.8,482
2013-06-10,201324,520,550,566,578.4
2013-06-17,201325,716,716.01,707.6,578.4
2013-06-24,201326,750,698.33,662.6,578.4
2013-07-01,201327,890,929.99,876,574.2
2013-07-08,201328,640,611.66,664,574.2
2013-07-15,201329,544,540.66,580,478.5
2013-07-22,201330,850,889.99,886.2,574.2
2013-07-29,201331,389,365.66,376.8,382.6
2013-08-05,201332,768,809.99,853,573
2013-08-12,201333,651,612.33,599,573
2013-08-19,201334,950,953.32,918.8,573
2013-08-26,201335,1068,978,908.4,573
2013-09-02,201336,788,939.67,1040.6,576.6
2013-09-09,201337,588,548.34,527.8,576.6
2013-09-16,201338,160,94.67,90.8,96.1
2013-09-23,201339,621,693.67,677.4,576.6
2013-09-30,201340,997,973.66,1003,584.6
2013-10-07,201341,385,404.34,394.6,488.5
2013-10-14,201342,665,589.65,578.4,586.2
2013-10-21,201343,594,614,599,488.5
2013-10-28,201344,657,709,730.6,586.4
2013-11-04,201345,661,638.66,630.4,489
2013-11-11,201346,531,553.67,619.4,586.8
2013-11-18,201347,534,566.99,502,586.8
2013-11-25,201348,552,503.33,515.8,586.8
2013-12-02,201349,848,856.33,747.8,586.2
2013-12-09,201350,1050,991.67,1008.2,586.2
2013-12-16,201351,288,369.66,479,488.5
2013-12-23,201352,416,377.67,358,488.5
2013-12-30,201301,140,136.66,157,195.4
2014-01-02,201401,504,564,513.4,589.2
2014-01-06,201402,407,379,396,501
2014-01-13,201403,758,756,671.6,501
2014-01-20,201404,300,363.33,501,601.2
2014-01-27,201405,100,93.33,114,300.6
2014-02-03,201406,1110,1070.67,990.8,613.8
2014-02-10,201407,660,622.33,577.8,511.5
2014-02-17,201408,1737,1514,1297.4,613.8
2014-02-24,201409,1259,1465.67,1700,612.3
2014-03-03,201410,1318,1041.34,976.8,604.8
2014-03-10,201411,2303,2628.67,2445,604.8
2014-03-17,201412,698,710.32,969.2,604.8
2014-03-24,201413,1273,731.67,673.4,504
2014-03-31,201414,675,1238.34,1308.6,611.3
2014-04-07,201415,413,395.33,419.2,612.6
2014-04-14,201416,302,354.33,385.8,510.5
