OrderDate,YYYYMM,YYYYWEEK,ORDERQTY,7MA,14MA,PS
2018-01-02,201801,20181,92,NULL,NULL,99.4
2018-01-03,201801,20181,130,NULL,NULL,99.4
2018-01-04,201801,20181,45,NULL,NULL,99.4
2018-01-05,201801,20181,54,NULL,NULL,99.4
2018-01-08,201801,20182,464,NULL,NULL,99.4
2018-01-09,201801,20182,60,NULL,NULL,99.4
2018-01-10,201801,20182,60,129.29,NULL,99.4
2018-01-11,201801,20182,50,123.29,NULL,99.4
2018-01-12,201801,20182,2,105.0,NULL,99.4
2018-01-15,201801,20183,85,110.71,NULL,99.4
2018-01-16,201801,20183,12,104.71,NULL,99.4
2018-01-17,201801,20183,120,55.57,NULL,99.4
2018-01-18,201801,20183,140,67.0,NULL,99.4
2018-01-19,201801,20183,30,62.71,96,99.4
2018-01-22,201801,20184,40,61.29,92.29,99.4
2018-01-23,201801,20184,250,96.71,100.86,99.4
2018-01-24,201801,20184,110,100.29,105.5,99.4
2018-01-26,201801,20184,48,105.43,105.07,99.4
2018-01-27,201801,20184,5,89.0,72.29,99.4
2018-01-29,201801,20185,30,73.29,70.14,99.4
2018-01-30,201801,20185,50,76.14,69.43,99.4
2018-01-31,201801,20185,708,171.57,116.43,99.4
2018-02-01,201802,20185,101,150.29,123.5,101
2018-02-02,201802,20185,530,210.29,155.29,101
2018-02-03,201802,20185,10,204.86,155.14,101
2018-02-05,201802,20186,100,218.43,153.71,101
2018-02-06,201802,20186,60,222.71,148,101
2018-02-07,201802,20186,49,222.57,149.36,101
2018-02-08,201802,20186,80,132.86,152.21,101
2018-02-09,201802,20186,80,129.86,140.07,101
2018-02-12,201802,20187,649,146.86,178.57,101
2018-02-13,201802,20187,46,152.0,178.43,101
2018-02-14,201802,20187,100,152.0,185.21,101
2018-02-19,201802,20188,228,176.0,199.36,101
2018-02-20,201802,20188,405,226.86,224.71,101
2018-02-22,201802,20188,106,230.57,181.71,101
2018-02-23,201802,20188,100,233.43,181.64,101
2018-02-26,201802,20189,166,164.43,155.64,101
2018-02-27,201802,20189,30,162.14,157.07,101
2018-02-28,201802,20189,60,156.43,154.21,101
2018-03-01,201803,20189,20,126.71,151.36,97.9
2018-03-02,201803,20189,168,92.86,159.86,97.9
2018-03-03,201803,20189,20,80.57,155.57,97.9
2018-03-05,201803,201810,151,87.86,160.64,97.9
2018-03-06,201803,201810,60,72.71,118.57,97.9
2018-03-07,201803,201810,130,87.0,124.57,97.9
2018-03-08,201803,201810,213,108.86,132.64,97.9
2018-03-09,201803,201810,85,118.14,122.43,97.9
2018-03-10,201803,201810,5,94.86,93.86,97.9
2018-03-12,201803,201811,160,114.86,97.71,97.9
2018-03-13,201803,201811,60,101.86,94.86,97.9
2018-03-14,201803,201811,30,97.57,85.14,97.9
2018-03-15,201803,201811,146,99.86,93.43,97.9
2018-03-16,201803,201811,33,74.14,91.5,97.9
2018-03-19,201803,201812,164,85.43,101.79,97.9
2018-03-20,201803,201812,553,163.71,129.29,97.9
2018-03-21,201803,201812,10,142.29,128.57,97.9
2018-03-22,201803,201812,160,156.57,129.21,97.9
2018-03-23,201803,201812,50,159.43,128.5,97.9
2018-03-26,201803,201813,65,147.86,123.86,97.9
2018-03-27,201803,201813,55,151.0,112.57,97.9
2018-03-28,201803,201813,30,131.86,108.64,97.9
2018-03-29,201803,201813,305,96.43,130.07,97.9
2018-03-30,201803,201813,48,101.86,122.07,97.9
2018-04-02,201804,201814,173,103.71,130.14,99.6
2018-04-03,201804,201814,65,105.86,132.64,99.6
2018-04-04,201804,201814,841,216.71,182.29,99.6
2018-04-05,201804,201814,246,244.0,197.5,99.6
2018-04-06,201804,201814,15,241.86,186.86,99.6
2018-04-09,201804,201815,200,226.86,161.64,99.6
2018-04-10,201804,201815,150,241.43,171.64,99.6
2018-04-12,201804,201815,86,229.0,166.36,99.6
2018-04-13,201804,201815,32,224.29,165.07,99.6
2018-04-16,201804,201816,20,107.0,161.86,99.6
2018-04-17,201804,201816,145,92.57,168.29,99.6
2018-04-18,201804,201816,70,100.43,171.14,99.6
2018-04-19,201804,201816,93,85.14,156,99.6
2018-04-20,201804,201816,90,76.57,159,99.6
2018-04-23,201804,201817,45,70.71,149.86,99.6
2018-04-24,201804,201817,60,74.71,149.5,99.6
2018-04-25,201804,201817,360,123.29,115.14,99.6
2018-04-26,201804,201817,130,121.14,106.86,99.6
2018-04-27,201804,201817,46,117.71,109.07,99.6
2018-04-30,201804,201818,152,126.14,105.64,99.6
2018-05-01,201805,201818,150,134.71,105.64,101.7
2018-05-02,201805,201818,84,140.29,105.5,101.7
2018-05-03,201805,201818,491,201.86,138.29,101.7
2018-05-04,201805,201818,200,179.0,151.14,101.7
2018-05-05,201805,201818,40,166.14,143.64,101.7
2018-05-08,201805,201819,271,198.29,158,101.7
2018-05-09,201805,201819,260,213.71,169.93,101.7
2018-05-10,201805,201819,240,226.57,180.64,101.7
2018-05-11,201805,201819,40,220.29,180.29,101.7
2018-05-14,201805,201820,944,285.0,243.43,101.7
2018-05-15,201805,201820,172,281.0,230,101.7
2018-05-16,201805,201820,24,278.71,222.43,101.7
2018-05-17,201805,201820,440,302.86,250.57,101.7
2018-05-18,201805,201820,102,280.29,247,101.7
2018-05-19,201805,201820,20,248.86,237.71,101.7
2018-05-21,201805,201821,832,362.0,291.14,101.7
2018-05-22,201805,201821,40,232.86,258.93,101.7
2018-05-23,201805,201821,214,238.86,259.93,101.7
2018-05-24,201805,201821,287,276.43,277.57,101.7
2018-05-25,201805,201821,340,262.14,282.5,101.7
2018-05-26,201805,201821,24,251.0,265.64,101.7
2018-05-28,201805,201822,883,374.29,311.57,101.7
2018-05-29,201805,201822,340,304.0,333,101.7
2018-05-30,201805,201822,510,371.14,302,101.7
2018-05-31,201805,201822,395,397.0,317.93,101.7
2018-06-01,201806,201822,90,368.86,322.64,100.2
2018-06-03,201806,201822,40,326.0,294.07,100.2
2018-06-04,201806,201823,4,323.14,287.07,100.2
2018-06-07,201806,201823,8,198.14,286.21,100.2
2018-06-08,201806,201823,60,158.14,231.07,100.2
2018-06-09,201806,201823,10,86.71,228.93,100.2
2018-06-11,201806,201824,126,48.29,222.64,100.2
2018-06-12,201806,201824,115,51.86,210.36,100.2
2018-06-13,201806,201824,20,49.0,187.5,100.2
2018-06-14,201806,201824,127,66.57,194.86,100.2
2018-06-15,201806,201824,77,76.43,137.29,100.2
2018-06-16,201806,201824,20,70.71,114.43,100.2
2018-06-18,201806,201825,100,83.57,85.14,100.2
2018-06-19,201806,201825,150,87.0,67.64,100.2
2018-06-20,201806,201825,60,79.14,65.5,100.2
2018-06-21,201806,201825,64,85.43,67.21,100.2
2018-06-22,201806,201825,60,75.86,71.21,100.2
2018-06-25,201806,201826,45,71.29,73.86,100.2
2018-06-26,201806,201826,126,86.43,78.57,100.2
2018-06-27,201806,201826,50,79.29,81.43,100.2
2018-06-28,201806,201826,91,70.86,78.93,100.2
2018-06-29,201806,201826,50,69.43,74.29,100.2
2018-07-02,201807,201827,202,89.14,87.29,95.5
2018-07-03,201807,201827,43,86.71,81.29,95.5
2018-07-04,201807,201827,64,89.43,80.36,95.5
2018-07-05,201807,201827,73,81.86,84.14,95.5
2018-07-06,201807,201827,10,76.14,77.71,95.5
2018-07-07,201807,201827,20,66.0,68.43,95.5
2018-07-09,201807,201828,76,69.71,69.57,95.5
2018-07-10,201807,201828,140,60.86,75,95.5
2018-07-11,201807,201828,110,70.43,78.57,95.5
2018-07-12,201807,201828,75,72.0,80.71,95.5
2018-07-13,201807,201828,66,71.0,76.43,95.5
2018-07-14,201807,201828,60,78.14,77.14,95.5
2018-07-16,201807,201829,72,85.57,75.79,95.5
2018-07-17,201807,201829,50,81.86,75.79,95.5
2018-07-18,201807,201829,8,63.0,61.93,95.5
2018-07-19,201807,201829,60,55.86,63.14,95.5
2018-07-20,201807,201829,120,62.29,67.14,95.5
2018-07-23,201807,201830,180,78.57,74.79,95.5
