OrderDate,SalesOrder,OrderType,SalesOffice,SPName,MaterialCode,ItemDescription,OrderQty
2018.01.02,1394543,OR30,DB20,동일벨트산업 주식회사,1000886,ILBAN B 72 INCH 내,60 
2018.01.02,1394579,OR10,DB10,동일벨트(울산),1000886,ILBAN B 72 INCH 내,10 
2018.01.02,1394611,OR10,DB20,신우기업,1000886,ILBAN B 72 INCH 내,2 
2018.01.02,1394676,OR10,DB10,유일상사,1000886,ILBAN B 72 INCH 내,20 
2018.01.03,1395012,OR10,DB10,동일종합상사,1000886,ILBAN B 72 INCH 내,20 
2018.01.03,1395069,OR10,DB40,㈜ 동일,1000886,ILBAN B 72 INCH 내,10 
2018.01.03,1395078,OR10,DB30,흥진농기계,1000886,ILBAN B 72 INCH 내,20 
2018.01.03,1395228,OR10,DB40,동일벨트㈜,1000886,ILBAN B 72 INCH 내,60 
2018.01.03,1395233,OR10,DB20,(주)삼흥정밀화학,1000886,ILBAN B 72 INCH 내,10 
2018.01.03,1395356,OR30,DB20,한길산업,1000886,ILBAN B 72 INCH 내,10 
2018.01.04,1395442,OR10,DB40,㈜ 동일,1000886,ILBAN B 72 INCH 내,40 
2018.01.04,1395692,OR10,DB40,동일벨트㈜,1000886,ILBAN B 72 INCH 내,5 
2018.01.05,1395926,OR10,DB30,동일산업,1000886,ILBAN B 72 INCH 내,20 
2018.01.05,1395933,OR30,DB20,태영산업사,1000886,ILBAN B 72 INCH 내,20 
2018.01.05,1396018,OR10,DB40,동일통상,1000886,ILBAN B 72 INCH 내,10 
2018.01.05,1396050,OR10,DB20,한길산업,1000886,ILBAN B 72 INCH 내,4 
2018.01.08,1396156,OR30,DB20,(주) 신흥폴리테크,1000886,ILBAN B 72 INCH 내,20 
2018.01.08,1396185,OR30,DB20,(주) 신흥폴리테크,1000886,ILBAN B 72 INCH 내,20 
2018.01.08,1396208,OR10,DB10,성우상사,1000886,ILBAN B 72 INCH 내,20 
2018.01.08,1396258,OR30,DB20,한길산업,1000886,ILBAN B 72 INCH 내,40 
2018.01.08,1396332,OR30,DB20,신우기업,1000886,ILBAN B 72 INCH 내,2 
2018.01.08,1396392,OR10,DB40,㈜ 동일,1000886,ILBAN B 72 INCH 내,2 
2018.01.08,1396392,OR10,DB40,㈜ 동일,1000886,ILBAN B 72 INCH 내,30 
2018.01.08,1396409,OR10,DB40,(주)대동,1000886,ILBAN B 72 INCH 내,300 
2018.01.08,1396456,OR30,DB20,한성상공(주),1000886,ILBAN B 72 INCH 내,10 
2018.01.08,1396520,OR10,DB10,동일삼광산업,1000886,ILBAN B 72 INCH 내,20 
