PODATE,POTYPE,WP,CUSTNAME,PONO,ITEMNO,MATNO,MATNAME,POQTY,DELIVERYDATE,DEVERYQTY,Delivery Status
2021.01.02,OR30,DB20,?胳檿?办梾,1725933,70,1000886,ILBAN B 72 INCH ??20,2021.01.02,-20,?╉拡?勲,
2021.01.04,OR10,DB10,?欖澕氩姼(?胳偘),1725990,40,1000886,ILBAN B 72 INCH ??10,2021.01.04,-10,?╉拡?勲,
2021.01.04,EX10,OS10,ARABIAN PARTS CO.,1725995,100,1005960,ILBAN B 72 INCH OHS EX,63,2021.02.15,63,?╉拡?勲
2021.01.04,OR10,DB40,???欖澕,1726077,100,1000886,ILBAN B 72 INCH ??20,2021.01.04,20,?╉拡?勲,
2021.01.04,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1726086,60,1000886,ILBAN B 72 INCH ??6,2021.01.04,6,?╉拡?勲,
2021.01.04,OR10,DB40,?欖澕氩姼??1726099,50,1000886,ILBAN B 72 INCH ??5,2021.01.04,5,?╉拡?勲,,
2021.01.04,OR10,DB20,?レ??1726186,90,1000886,ILBAN B 72 INCH ??3,2021.01.04,3,?╉拡?勲,,
2021.01.04,OR10,DB40,?欖澕氩姼??1726263,100,1000886,ILBAN B 72 INCH ??10,2021.01.04,10,?╉拡?勲,,
2021.01.04,OR10,DB40,???欖澕,1726479,30,1000886,ILBAN B 72 INCH ??5,2021.01.04,5,?╉拡?勲,
2021.01.04,OR10,DB40,?欖澕膦呿暕?岉伂,1726498,60,1000886,ILBAN B 72 INCH ??3,2021.01.04,3,?╉拡?勲,
2021.01.04,OR10,DB20,?欖澕?办梾,1726572,30,1000886,ILBAN B 72 INCH ??20,2021.01.04,20,?╉拡?勲,
2021.01.04,OR10,DB20,?滍暅?燫&B,1726573,180,1000886,ILBAN B 72 INCH ??80,2021.01.04,80,?╉拡?勲,
2021.01.05,OR10,DB20,?欖澕氩姼?办梾 欤检嫕?岇偓,1726688,60,1000886,ILBAN B 72 INCH ??4,2021.01.05,4,?╉拡?勲,
2021.01.05,OR30,DB20,?旍劚氍检偘,1726704,10,1000886,ILBAN B 72 INCH ??20,2021.01.05,20,?╉拡?勲,
2021.01.05,OR30,DB20,?滌榿?办梾??1726728,60,1000886,ILBAN B 72 INCH ??20,2021.01.05,20,?╉拡?勲,,
2021.01.05,OR10,DB20,?�?滊波??1726730,10,1000886,ILBAN B 72 INCH ??20,2021.01.05,20,?╉拡?勲,,
2021.01.05,OR10,DB20,?レ??1726856,30,1000886,ILBAN B 72 INCH ??2,2021.01.05,2,?╉拡?勲,,
2021.01.05,OR10,DB20,?滉父?办梾,1726860,120,1000886,ILBAN B 72 INCH ??20,2021.01.05,20,?╉拡?勲,
2021.01.05,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1726906,10,1000886,ILBAN B 72 INCH ??20,2021.01.05,20,?╉拡?勲,
2021.01.05,OR30,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1727075,20,1000886,ILBAN B 72 INCH ??20,2021.01.05,20,?╉拡?勲,
2021.01.05,OR10,DB40,?欖澕?奠儊,1727117,60,1000886,ILBAN B 72 INCH ??3,2021.01.05,3,?╉拡?勲,
2021.01.06,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1727172,50,1000886,ILBAN B 72 INCH ??3,2021.01.06,3,?╉拡?勲,
2021.01.06,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1727467,240,1000886,ILBAN B 72 INCH ??2,2021.01.06,2,?╉拡?勲,
2021.01.06,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1727510,40,1000886,ILBAN B 72 INCH ??10,2021.01.06,10,?╉拡?勲,
2021.01.07,OR10,DB40,?欖澕氩姼??1727657,80,1000886,ILBAN B 72 INCH ??10,2021.01.07,10,?╉拡?勲,,
2021.01.07,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1727779,30,1000886,ILBAN B 72 INCH ??20,2021.01.07,20,?╉拡?勲,
2021.01.07,OR10,DB40,?欖澕氩姼??1727929,40,1000886,ILBAN B 72 INCH ??5,2021.01.07,5,?╉拡?勲,,
2021.01.08,OR30,DB20,(欤? ?犿潵?措Μ?岉伂,1728051,30,1000886,ILBAN B 72 INCH ??20,2021.01.08,20,?╉拡?勲,
2021.01.08,OR10,DB10,?犾澕?侅偓,1728134,30,1000886,ILBAN B 72 INCH ??20,2021.01.08,20,?╉拡?勲,
2021.01.08,OR30,DB20,?滌嫚?レ晫?ろ厡??1728276,10,1000886,ILBAN B 72 INCH ??20,2021.01.08,20,?╉拡?勲,,
2021.01.08,OR10,DB10,?欖澕氩姼?侅偓,1728331,60,1000886,ILBAN B 72 INCH ??40,2021.01.08,40,?╉拡?勲,
2021.01.08,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1728355,10,1000886,ILBAN B 72 INCH ??4,2021.01.08,4,?╉拡?勲,
2021.01.09,OR10,DB20,?欖澕?办梾,1728412,30,1000886,ILBAN B 72 INCH ??3,2021.01.09,3,?╉拡?勲,
2021.01.11,OR30,DB20,?欖澕氩姼?办梾 欤检嫕?岇偓,1728480,70,1000886,ILBAN B 72 INCH ??60,2021.01.11,60,?╉拡?勲,
2021.01.11,OR10,DB20,欤检嫕?岇偓 ?彪炒?办梾??1728797,90,1000886,ILBAN B 72 INCH ??20,2021.01.11,20,?╉拡?勲,,
2021.01.11,OR10,DB10,?膘毎?侅偓,1728805,160,1000886,ILBAN B 72 INCH ??10,2021.01.11,10,?╉拡?勲,
2021.01.11,OR10,DB10,?欖澕?缄磻?办梾,1728928,110,1000886,ILBAN B 72 INCH ??20,2021.01.11,20,?╉拡?勲,
2021.01.12,OR10,DB40,???欖澕,1729034,30,1000886,ILBAN B 72 INCH ??10,2021.01.12,10,?╉拡?勲,
2021.01.12,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1729083,40,1000886,ILBAN B 72 INCH ??5,2021.01.12,5,?╉拡?勲,
2021.01.12,OR10,DB20,歆勴潵?侅偓,1729133,20,1000886,ILBAN B 72 INCH ??20,2021.01.12,20,?╉拡?勲,
2021.01.12,OR10,DB20,?滉父?办梾,1729141,190,1000886,ILBAN B 72 INCH ??20,2021.01.12,20,?╉拡?勲,
2021.01.12,OR10,DB20,?滌嫚?レ晫?ろ厡??1729169,50,1000886,ILBAN B 72 INCH ??8,2021.01.12,8,?╉拡?勲,,
2021.01.13,OR30,DB20,?リ淡膦呿暕?侁车??1729450,130,1000886,ILBAN B 72 INCH ??20,2021.01.13,20,?╉拡?勲,,
2021.01.13,OR30,DB20,?滌澕?办梾??1729569,10,1000886,ILBAN B 72 INCH ??20,2021.01.13,20,?╉拡?勲,,
2021.01.13,OR10,DB20,?滍暅?燫&B,1729721,20,1000886,ILBAN B 72 INCH ??10,2021.01.13,10,?╉拡?勲,
2021.01.13,OR10,DB40,?欖澕?橃?旖橂矤?措波??1729790,30,1000886,ILBAN B 72 INCH ??10,2021.01.13,10,?╉拡?勲,,
2021.01.14,OR10,DB10,?欖澕氩姼(?胳偘),1729962,30,1000886,ILBAN B 72 INCH ??10,2021.01.14,10,?╉拡?勲,
2021.01.14,OR10,DB20,?滌嫚?レ晫?ろ厡??1730084,40,1000886,ILBAN B 72 INCH ??5,2021.01.14,5,?╉拡?勲,,
2021.01.14,OR10,DB20,?欖澕?办梾,1730123,60,1000886,ILBAN B 72 INCH ??5,2021.01.14,5,?╉拡?勲,
2021.01.14,OR10,DB40,?欖澕?奠儊,1730149,10,1000886,ILBAN B 72 INCH ??3,2021.01.14,3,?╉拡?勲,
2021.01.15,OR10,DB40,???欖澕,1730550,60,1000886,ILBAN B 72 INCH ??10,2021.01.15,10,?╉拡?勲,
2021.01.15,OR10,DB10,?欖澕?侁车??1730562,90,1000886,ILBAN B 72 INCH ??10,2021.01.15,10,?╉拡?勲,,
2021.01.18,OR10,DB10,?膘毎?侅偓,1730952,150,1000886,ILBAN B 72 INCH ??20,2021.01.18,20,?╉拡?勲,
2021.01.18,OR10,DB10,?欖澕氩姼(?胳偘),1730954,40,1000886,ILBAN B 72 INCH ??10,2021.01.18,10,?╉拡?勲,
2021.01.18,OR10,DB20,?滍暅?燫&B,1731026,50,1000886,ILBAN B 72 INCH ??3,2021.01.18,3,?╉拡?勲,
2021.01.18,OR10,DB10,?膘毎?侅偓,1731064,20,1000886,ILBAN B 72 INCH ??40,2021.01.18,40,?╉拡?勲,
